CLM_run,CLM_varname,output_varname,long_name,CMOR_dims,priority,NA_val,frequency,output_function,CLM_units,conversion_factor,global_cf,dimension,units
1,M_DEADROOTC_STORAGE_TO_FIRE-M_DEADROOTC_TO_FIRE-M_DEADROOTC_XFER_TO_FIRE-M_DEADSTEMC_STORAGE_TO_FIRE-M_DEADSTEMC_TO_FIRE-M_DEADSTEMC_XFER_TO_FIRE-M_FROOTC_STORAGE_TO_FIRE-M_FROOTC_TO_FIRE-M_FROOTC_XFER_TO_FIRE-M_LEAFC_STORAGE_TO_FIRE-M_LEAFC_TO_FIRE-M_LEAFC_XFER_TO_FIRE-M_LIVEROOTC_STORAGE_TO_FIRE-M_LIVEROOTC_TO_FIRE-M_LIVEROOTC_XFER_TO_FIRE-M_LIVESTEMC_STORAGE_TO_FIRE-M_LIVESTEMC_TO_FIRE-M_LIVESTEMC_XFER_TO_FIRE-M_GRESP_STORAGE_TO_FIRE-M_GRESP_XFER_TO_FIRE,fFireCveg,CO2 Emission from Cveg due to Fire,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,LITFIRE,fFireLitter,CO2 Emission from Litter due to Fire,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
0,NA,fGrazing,CO2 Flux to Atmosphere from Grazing,longitude latitude time,2,-99999,monthly,NA,NA,NA,NA,NA,NA
1,CROPPROD1C_LOSS,fHarvest,CO2 Flux to Atmosphere from Crop Harvesting,longitude latitude time,2,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,LEAFC_TO_LITTER,fLeafLitter,Carbon Flux from Leaves to Litter ,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,LIT_CEL_C_TO_SOM_ACT_C-LIT_LIG_C_TO_SOM_SLO_C-LIT_MET_C_TO_SOM_ACT_C,fLitterSoil,Total Carbon Flux from Litter to Soil,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,DWT_CONV_CFLUX-TOT_WOODPRODC_LOSS,fLuc,CO2 Flux to Atmosphere from Land Use Change,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,F_N2O_DENIT-F_N2O_NIT,fN2O,N2O flux,longitude latitude time,2,-99999,monthly,sum,gN/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,NDEP_TO_SMINN,fNdep,Nitrogen deposition,longitude latitude time,2,-99999,monthly,sum,gN/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,SMIN_NO3_LEACHED-SMIN_NO3_RUNOFF-DENIT,fNloss,total ecosystem nitrogen loss,longitude latitude time,2,-99999,monthly,sum,gN/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,NET_NMIN,fNnetmin,net Nitrogen mineralisation,longitude latitude time,2,-99999,monthly,sum,gN/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,SMINN_TO_PLANT,fNup,Nitrogen uptake of Vegetation,longitude latitude time,2,-99999,monthly,sum,gN/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,FROOTC_TO_LITTER,fRootLitter,Carbon Flux from Roots to Litter ,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
1,LITFALL,fVegLitter,Total Carbon Flux from Vegetation to Litter,longitude latitude time,1,-99999,monthly,sum,gC/m2/s,0.001,3.15E-08,global,kg m-2 s-1
